model,N,d,D_hat,bias,ci_lo,ci_hi
SRW,1048576,20,1.6630,-0.3370,1.6362,1.6905
Pearson,1024,2,1.3068,-0.6932,1.2919,1.3218
Pearson,1024,3,1.1262,-0.8738,1.0978,1.1562
Pearson,1024,4,0.9984,-1.0016,0.9669,1.0304
Pearson,1024,5,0.8797,-1.1203,0.8438,0.9150
Pearson,1024,6,0.7751,-1.2249,0.7417,0.8087
Pearson,1024,7,0.6797,-1.3203,0.6540,0.7060
Pearson,1024,8,0.6413,-1.3587,0.6070,0.6770
Pearson,1024,9,0.5787,-1.4213,0.5508,0.6065
Pearson,1024,10,0.5349,-1.4651,0.5059,0.5623
Pearson,1024,11,0.5128,-1.4872,0.4896,0.5365
Pearson,1024,12,0.4817,-1.5183,0.4542,0.5090
Pearson,1024,13,0.4525,-1.5475,0.4282,0.4778
Pearson,1024,14,0.4215,-1.5785,0.3954,0.4490
Pearson,1024,15,0.3983,-1.6017,0.3760,0.4213
Pearson,1024,16,0.3853,-1.6147,0.3617,0.4080
Pearson,1024,17,0.3568,-1.6432,0.3347,0.3819
Pearson,1024,18,0.3171,-1.6829,0.2943,0.3424
Pearson,1024,19,0.3192,-1.6808,0.3021,0.3379
Pearson,1024,20,0.2919,-1.7081,0.2728,0.3114
Pearson,4096,2,1.5487,-0.4513,1.5400,1.5578
Pearson,4096,3,1.5255,-0.4745,1.5079,1.5442
Pearson,4096,4,1.4010,-0.5990,1.3765,1.4272
Pearson,4096,5,1.3053,-0.6947,1.2723,1.3394
Pearson,4096,6,1.2014,-0.7986,1.1708,1.2308
Pearson,4096,7,1.1513,-0.8487,1.1136,1.1897
Pearson,4096,8,1.0445,-0.9555,1.0056,1.0842
Pearson,4096,9,1.0173,-0.9827,0.9826,1.0528
Pearson,4096,10,0.9702,-1.0298,0.9347,1.0069
Pearson,4096,11,0.9152,-1.0848,0.8902,0.9413
Pearson,4096,12,0.8422,-1.1578,0.8079,0.8781
Pearson,4096,13,0.8234,-1.1766,0.7948,0.8547
Pearson,4096,14,0.7830,-1.2170,0.7502,0.8165
Pearson,4096,15,0.7604,-1.2396,0.7298,0.7911
Pearson,4096,16,0.7250,-1.2750,0.6938,0.7565
Pearson,4096,17,0.7014,-1.2986,0.6733,0.7300
Pearson,4096,18,0.6425,-1.3575,0.6156,0.6730
Pearson,4096,19,0.6538,-1.3462,0.6254,0.6838
Pearson,4096,20,0.6100,-1.3900,0.5832,0.6387
Pearson,16384,2,1.6321,-0.3679,1.6148,1.6487
Pearson,16384,3,1.7730,-0.2270,1.7614,1.7841
Pearson,16384,4,1.7042,-0.2958,1.6862,1.7220
Pearson,16384,5,1.6584,-0.3416,1.6356,1.6796
Pearson,16384,6,1.5707,-0.4293,1.5452,1.5965
Pearson,16384,7,1.5287,-0.4713,1.5016,1.5563
Pearson,16384,8,1.4543,-0.5457,1.4199,1.4839
Pearson,16384,9,1.3836,-0.6164,1.3602,1.4088
Pearson,16384,10,1.3623,-0.6377,1.3298,1.3940
Pearson,16384,11,1.2809,-0.7191,1.2568,1.3056
Pearson,16384,12,1.2530,-0.7470,1.2238,1.2850
Pearson,16384,13,1.2527,-0.7473,1.2186,1.2903
Pearson,16384,14,1.1766,-0.8234,1.1545,1.1981
Pearson,16384,15,1.1139,-0.8861,1.0856,1.1453
Pearson,16384,16,1.1233,-0.8767,1.0926,1.1569
Pearson,16384,17,1.1237,-0.8763,1.0833,1.1654
Pearson,16384,18,1.0526,-0.9474,1.0213,1.0864
Pearson,16384,19,1.0162,-0.9838,0.9887,1.0436
Pearson,16384,20,1.0126,-0.9874,0.9849,1.0424
Pearson,65536,2,1.6537,-0.3463,1.6365,1.6712
Pearson,65536,3,1.8497,-0.1503,1.8359,1.8627
Pearson,65536,4,1.8670,-0.1330,1.8559,1.8783
Pearson,65536,5,1.8346,-0.1654,1.8203,1.8501
Pearson,65536,6,1.7886,-0.2114,1.7731,1.8040
Pearson,65536,7,1.7473,-0.2527,1.7280,1.7665
Pearson,65536,8,1.7320,-0.2680,1.7113,1.7535
Pearson,65536,9,1.7086,-0.2914,1.6848,1.7327
Pearson,65536,10,1.6612,-0.3388,1.6370,1.6840
Pearson,65536,11,1.6151,-0.3849,1.5926,1.6392
Pearson,65536,12,1.5879,-0.4121,1.5602,1.6189
Pearson,65536,13,1.5567,-0.4433,1.5299,1.5831
Pearson,65536,14,1.5458,-0.4542,1.5188,1.5715
Pearson,65536,15,1.4922,-0.5078,1.4674,1.5169
Pearson,65536,16,1.4657,-0.5343,1.4379,1.4948
Pearson,65536,17,1.4755,-0.5245,1.4452,1.5086
Pearson,65536,18,1.4412,-0.5588,1.4162,1.4667
