model,N,d,D_hat,bias,ci_lo,ci_hi
Persistent,1048576,14,1.8398,-0.1602,1.8152,1.8656
Persistent,1048576,15,1.8452,-0.1548,1.8115,1.8871
Persistent,1048576,16,1.8189,-0.1811,1.7934,1.8462
Persistent,1048576,17,1.8054,-0.1946,1.7759,1.8387
Persistent,1048576,18,1.8353,-0.1647,1.8093,1.8630
Persistent,1048576,19,1.7851,-0.2149,1.7670,1.8051
Persistent,1048576,20,1.8139,-0.1861,1.7820,1.8551
Antipersistent,1024,2,1.3131,-0.6869,1.3012,1.3246
Antipersistent,1024,3,1.1173,-0.8827,1.0929,1.1430
Antipersistent,1024,4,0.9418,-1.0582,0.9113,0.9727
Antipersistent,1024,5,0.8164,-1.1836,0.7812,0.8553
Antipersistent,1024,6,0.7406,-1.2594,0.7079,0.7747
Antipersistent,1024,7,0.6769,-1.3231,0.6434,0.7116
Antipersistent,1024,8,0.5868,-1.4132,0.5536,0.6218
Antipersistent,1024,9,0.5330,-1.4670,0.5065,0.5617
Antipersistent,1024,10,0.4869,-1.5131,0.4572,0.5185
Antipersistent,1024,11,0.4555,-1.5445,0.4292,0.4848
Antipersistent,1024,12,0.4095,-1.5905,0.3805,0.4395
Antipersistent,1024,13,0.3735,-1.6265,0.3510,0.3978
Antipersistent,1024,14,0.3590,-1.6410,0.3304,0.3900
Antipersistent,1024,15,0.3405,-1.6595,0.3179,0.3616
Antipersistent,1024,16,0.3283,-1.6717,0.3014,0.3579
Antipersistent,1024,17,0.2729,-1.7271,0.2540,0.2929
Antipersistent,1024,18,0.2830,-1.7170,0.2596,0.3106
Antipersistent,1024,19,0.2616,-1.7384,0.2404,0.2848
Antipersistent,1024,20,0.2468,-1.7532,0.2258,0.2713
Antipersistent,4096,2,1.5505,-0.4495,1.5404,1.5606
Antipersistent,4096,3,1.5376,-0.4624,1.5190,1.5565
Antipersistent,4096,4,1.4036,-0.5964,1.3723,1.4342
Antipersistent,4096,5,1.2714,-0.7286,1.2401,1.3063
Antipersistent,4096,6,1.1732,-0.8268,1.1409,1.2032
Antipersistent,4096,7,1.0480,-0.9520,1.0189,1.0810
Antipersistent,4096,8,1.0448,-0.9552,1.0153,1.0761
Antipersistent,4096,9,0.9645,-1.0355,0.9312,0.9999
Antipersistent,4096,10,0.8995,-1.1005,0.8584,0.9404
Antipersistent,4096,11,0.8579,-1.1421,0.8217,0.8949
Antipersistent,4096,12,0.7938,-1.2062,0.7646,0.8217
Antipersistent,4096,13,0.7693,-1.2307,0.7327,0.8035
Antipersistent,4096,14,0.7466,-1.2534,0.7133,0.7803
Antipersistent,4096,15,0.6873,-1.3127,0.6552,0.7188
Antipersistent,4096,16,0.6243,-1.3757,0.5958,0.6553
Antipersistent,4096,17,0.6461,-1.3539,0.6118,0.6842
Antipersistent,4096,18,0.6055,-1.3945,0.5740,0.6353
Antipersistent,4096,19,0.5497,-1.4503,0.5204,0.5793
Antipersistent,4096,20,0.5311,-1.4689,0.5044,0.5607
Antipersistent,16384,2,1.6475,-0.3525,1.6331,1.6613
Antipersistent,16384,3,1.7904,-0.2096,1.7802,1.8000
Antipersistent,16384,4,1.7296,-0.2704,1.7115,1.7489
Antipersistent,16384,5,1.6714,-0.3286,1.6481,1.6953
Antipersistent,16384,6,1.5613,-0.4387,1.5317,1.5945
Antipersistent,16384,7,1.4981,-0.5019,1.4710,1.5281
Antipersistent,16384,8,1.4420,-0.5580,1.4082,1.4771
Antipersistent,16384,9,1.4001,-0.5999,1.3665,1.4323
Antipersistent,16384,10,1.3241,-0.6759,1.2891,1.3591
Antipersistent,16384,11,1.2813,-0.7187,1.2453,1.3205
Antipersistent,16384,12,1.2182,-0.7818,1.1851,1.2504
Antipersistent,16384,13,1.1770,-0.8230,1.1380,1.2174
Antipersistent,16384,14,1.1790,-0.8210,1.1453,1.2118
Antipersistent,16384,15,1.1240,-0.8760,1.0887,1.1593
Antipersistent,16384,16,1.0784,-0.9216,1.0441,1.1138
Antipersistent,16384,17,1.0580,-0.9420,1.0161,1.0991
Antipersistent,16384,18,1.0206,-0.9794,0.9873,1.0538
Antipersistent,16384,19,0.9671,-1.0329,0.9398,0.9938
Antipersistent,16384,20,0.9291,-1.0709,0.9046,0.9536
Antipersistent,65536,2,1.6681,-0.3319,1.6489,1.6867
Antipersistent,65536,3,1.8821,-0.1179,1.8691,1.8949
Antipersistent,65536,4,1.9291,-0.0709,1.9174,1.9404
Antipersistent,65536,5,1.8806,-0.1194,1.8687,1.8920
Antipersistent,65536,6,1.8513,-0.1487,1.8362,1.8678
Antipersistent,65536,7,1.8067,-0.1933,1.7843,1.8318
Antipersistent,65536,8,1.7598,-0.2402,1.7379,1.7813
Antipersistent,65536,9,1.7163,-0.2837,1.6926,1.7400
Antipersistent,65536,10,1.6918,-0.3082,1.6650,1.7183
Antipersistent,65536,11,1.6362,-0.3638,1.6085,1.6645
Antipersistent,65536,12,1.6307,-0.3693,1.6043,1.6606
Antipersistent,65536,13,1.5804,-0.4196,1.5510,1.6094
Antipersistent,65536,14,1.5736,-0.4264,1.5443,1.6040
Antipersistent,65536,15,1.5031,-0.4969,1.4806,1.5268
Antipersistent,65536,16,1.4923,-0.5077,1.4652,1.5205
Antipersistent,65536,17,1.4459,-0.5541,1.4122,1.4803
Antipersistent,65536,18,1.4161,-0.5839,1.3888,1.4466
Antipersistent,65536,19,1.4279,-0.5721,1.3958,1.4605
Antipersistent,65536,20,1.3756,-0.6244,1.3483,1.4037
Antipersistent,262144,2,1.6669,-0.3331,1.6419,1.6930
Antipersistent,262144,3,1.8996,-0.1004,1.8711,1.9302
Antipersistent,262144,4,1.9851,-0.0149,1.9641,2.0072
Antipersistent,262144,5,1.9703,-0.0297,1.9532,1.9869
Antipersistent,262144,6,1.9567,-0.0433,1.9345,1.9810
Antipersistent,262144,7,1.9492,-0.0508,1.9322,1.9681
Antipersistent,262144,8,1.9464,-0.0536,1.9254,1.9736
Antipersistent,262144,9,1.9286,-0.0714,1.9086,1.9484
Antipersistent,262144,10,1.9058,-0.0942,1.8764,1.9364
Antipersistent,262144,11,1.8759,-0.1241,1.8447,1.9093
Antipersistent,262144,12,1.8829,-0.1171,1.8558,1.9130
Antipersistent,262144,13,1.8287,-0.1713,1.7906,1.8673
Antipersistent,262144,14,1.8243,-0.1757,1.7860,1.8633
Antipersistent,262144,15,1.8342,-0.1658,1.7993,1.8672
Antipersistent,262144,16,1.7876,-0.2124,1.7601,1.8109
Antipersistent,262144,17,1.7853,-0.2147,1.7523,1.8180
Antipersistent,262144,18,1.7796,-0.2204,1.7451,1.8174
Antipersistent,262144,19,1.7445,-0.2555,1.7052,1.7898
Antipersistent,262144,20,1.7303,-0.2697,1.6985,1.7611
Antipersistent,1048576,2,1.6698,-0.3302,1.6495,1.6895
Antipersistent,1048576,3,1.9010,-0.0990,1.8731,1.9286
Antipersistent,1048576,4,1.9838,-0.0162,1.9680,1.9979
Antipersistent,1048576,5,2.0104,0.0104,1.9954,2.0257
Antipersistent,1048576,6,2.0033,0.0033,1.9895,2.0179
Antipersistent,1048576,7,2.0150,0.0150,1.9956,2.0344
Antipersistent,1048576,8,2.0047,0.0047,1.9871,2.0223
Antipersistent,1048576,9,2.0102,0.0102,1.9902,2.0295
Antipersistent,1048576,10,2.0203,0.0203,1.9936,2.0457
Antipersistent,1048576,11,1.9953,-0.0047,1.9755,2.0144
Antipersistent,1048576,12,1.9588,-0.0412,1.9389,1.9801
Antipersistent,1048576,13,1.9664,-0.0336,1.9436,1.9896
Antipersistent,1048576,14,1.9838,-0.0162,1.9638,2.0057
Antipersistent,1048576,15,1.9858,-0.0142,1.9497,2.0278
Antipersistent,1048576,16,1.9709,-0.0291,1.9424,2.0009
Antipersistent,1048576,17,1.9200,-0.0800,1.8992,1.9405
Antipersistent,1048576,18,1.9331,-0.0669,1.9028,1.9671
Antipersistent,1048576,19,1.9247,-0.0753,1.8983,1.9517
Antipersistent,1048576,20,1.9118,-0.0882,1.8959,1.9288
