x,bias,model,N,d,width,F_model
7.5710,-2.0000,SRW,1024,3,5,-1.9999
8.5710,-2.0000,SRW,1024,3,5,-2.0000
9.5710,-2.0000,SRW,1024,3,5,-2.0000
10.5710,-2.0000,SRW,1024,3,5,-2.0000
11.5710,-2.0000,SRW,1024,3,5,-2.0000
0.0710,-0.7925,SRW,1024,3,6,-1.0387
1.0710,-1.1791,SRW,1024,3,6,-1.4320
2.0710,-1.5295,SRW,1024,3,6,-1.7485
3.0710,-1.8073,SRW,1024,3,6,-1.9225
4.0710,-1.9697,SRW,1024,3,6,-1.9796
5.0710,-1.9999,SRW,1024,3,6,-1.9948
6.0710,-2.0000,SRW,1024,3,6,-1.9987
7.0710,-2.0000,SRW,1024,3,6,-1.9997
8.0710,-2.0000,SRW,1024,3,6,-1.9999
9.0710,-2.0000,SRW,1024,3,6,-2.0000
10.0710,-2.0000,SRW,1024,3,6,-2.0000
11.0710,-2.0000,SRW,1024,3,6,-2.0000
-0.8501,-0.3461,SRW,1024,4,4,-0.5733
0.1499,-0.8157,SRW,1024,4,4,-1.1059
1.1499,-1.3061,SRW,1024,4,4,-1.5995
2.1499,-1.7199,SRW,1024,4,4,-1.8778
3.1499,-1.9618,SRW,1024,4,4,-1.9679
4.1499,-2.0000,SRW,1024,4,4,-1.9919
5.1499,-2.0000,SRW,1024,4,4,-1.9980
6.1499,-2.0000,SRW,1024,4,4,-1.9995
7.1499,-2.0000,SRW,1024,4,4,-1.9999
8.1499,-2.0000,SRW,1024,4,4,-2.0000
9.1499,-2.0000,SRW,1024,4,4,-2.0000
10.1499,-2.0000,SRW,1024,4,4,-2.0000
11.1499,-2.0000,SRW,1024,4,4,-2.0000
12.1499,-2.0000,SRW,1024,4,4,-2.0000
-0.3501,-0.6055,SRW,1024,4,5,-0.8514
0.6499,-1.0683,SRW,1024,4,5,-1.3137
1.6499,-1.4802,SRW,1024,4,5,-1.7002
2.6499,-1.7972,SRW,1024,4,5,-1.9092
3.6499,-1.9727,SRW,1024,4,5,-1.9762
4.6499,-2.0000,SRW,1024,4,5,-1.9940
5.6499,-2.0000,SRW,1024,4,5,-1.9985
6.6499,-2.0000,SRW,1024,4,5,-1.9996
7.6499,-2.0000,SRW,1024,4,5,-1.9999
8.6499,-2.0000,SRW,1024,4,5,-2.0000
9.6499,-2.0000,SRW,1024,4,5,-2.0000
10.6499,-2.0000,SRW,1024,4,5,-2.0000
11.6499,-2.0000,SRW,1024,4,5,-2.0000
